%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
93.0, 35987.8955469007, 41282.956753129576, -34202.54995853305, -21575.46837037425, -21437.647514062824, -26693.257891328085, -9033.323411145617, -29360.424501946512, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055408E9, 0.0, 2022-05-06 15:40:01.605
94.0, 35976.29499152839, 41327.9061112292, -34205.70155450125, -21548.914497961345, -21439.25683966361, -26687.60289998089, -9041.906481016455, -29363.307876981245, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055462E9, 0.0, 2022-05-06 15:40:01.605
95.0, 35948.95880805955, 41336.37742237776, -34176.06314135351, -21484.0720872965, -21398.12962986584, -26645.760434360556, -9001.092195641064, -29331.3225306657, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055515E9, 0.0, 2022-05-06 15:40:01.605
96.0, 35939.436964921595, 41330.8565414973, -34149.57632417397, -21424.527040067558, -21378.258929045074, -26604.700279796158, -8956.791038130646, -29315.408088613523, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605557E9, 0.0, 2022-05-06 15:40:01.605
97.0, 35951.2833894829, 41319.97124194756, -34183.372161790394, -21436.015836717586, -21401.460039789683, -26611.674024066215, -8956.053430563621, -29315.22927465788, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055624E9, 0.0, 2022-05-06 15:40:01.605
98.0, 35953.29504648388, 41290.355180544284, -34233.10479320345, -21484.653232652337, -21435.97113322868, -26647.74973961708, -9000.868678196512, -29341.291408692767, 0.108, 0.838, 0.49, 192.0, 3.0, 96.0, 26.0, 48.0, 15.0, 80.0, 0.0, 0.0, 0.0, 1.651844401605568E9, 0.0, 2022-05-06 15:40:01.605
99.0, 35951.57396216082, 41288.611744476766, -34220.61016805293, -21484.742639630156, -21419.699063265212, -26650.56605941845, -9023.108663929543, -29341.894905793062, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055734E9, 0.0, 2022-05-06 15:40:01.605
100.0, 35937.1347352427, 41304.57089001786, -34191.6199554944, -21484.697936141245, -21400.655376989293, -26633.9363615437, -9041.638260082991, -29331.3225306657, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605579E9, 0.0, 2022-05-06 15:40:01.605
101.0, 35920.750906556954, 41318.33956460233, -34173.82796690798, -21504.032195095086, -21393.681632719235, -26628.773108574525, -9029.456559354849, -29324.728766051387, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055849E9, 0.0, 2022-05-06 15:40:01.605
102.0, 35943.81790683483, 41339.03727996794, -34156.527716699566, -21541.136090890897, -21383.89156864781, -26635.70214935567, -9017.632486537992, -29328.774431797796, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65184440160559E9, 0.0, 2022-05-06 15:40:01.605
103.0, 35980.251250296984, 41343.82055328137, -34163.34499875844, -21606.51494342267, -21404.72339448016, -26672.00138235109, -9014.30207661415, -29353.96484779893, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055963E9, 0.0, 2022-05-06 15:40:01.605
