%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
10.0, 60802.735185949234, 28051.50634664373, -42414.82674060187, -8155.346888941156, 11482.784030769353, -21243.142633812742, 27626.08559442587, 22126.3718159642, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277568E9, 0.0, 2022-05-17 16:30:24.427
11.0, 60768.894644843895, 28052.579230377585, -42442.028813603974, -8150.608319116631, 11487.567304082788, -21236.59357268734, 27612.160457630212, 22081.98125147596, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277618E9, 0.0, 2022-05-17 16:30:24.427
12.0, 60793.52626723365, 28108.70446070486, -42371.218487169564, -8082.435498527944, 11543.357258243235, -21174.008688212478, 27643.00586497854, 22133.434967212077, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277668E9, 0.0, 2022-05-17 16:30:24.427
13.0, 60837.02276194368, 28137.694673263395, -42322.022297623436, -8053.5346929472325, 11573.845037680274, -21152.46160655756, 27674.745342105074, 22132.585600922775, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277716E9, 0.0, 2022-05-17 16:30:24.427
14.0, 60821.063616402585, 28084.98925983778, -42380.56151635188, -8132.5481095967425, 11518.457414920023, -21237.420587232184, 27630.064204938913, 22262.136311785736, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277763E9, 0.0, 2022-05-17 16:30:24.427
15.0, 60794.979130623244, 28046.141927974455, -42429.802409386924, -8181.85605786515, 11479.833600501252, -21301.12305892981, 27604.158533115213, 22182.362935824745, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277813E9, 0.0, 2022-05-17 16:30:24.427
16.0, 60789.458249742784, 28062.79397759366, -42414.60322315732, -8128.971830483893, 11479.051289445317, -21253.044456606443, 27599.911701668705, 22078.874358996673, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277875E9, 0.0, 2022-05-17 16:30:24.427
17.0, 60793.68272944483, 28103.85413215806, -42394.39724616972, -8083.754251450808, 11518.390359686657, -21220.38855795724, 27622.352853101835, 22175.702115977063, -0.014, 0.92, 0.098, 192.0, 255.0, 144.0, 28.0, 192.0, 3.0, 16.0, 0.0, 0.0, 0.0, 1.6527978244277923E9, 0.0, 2022-05-17 16:30:24.427
18.0, 60827.053883916604, 28127.47992604732, -42372.22431567006, -8077.1381350920365, 11543.848996621251, -21222.556677169407, 27660.99901926506, 22273.93803285814, -0.014, 0.92, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277973E9, 0.0, 2022-05-17 16:30:24.427
19.0, 60841.60486955701, 28101.775419923713, -42384.87540303176, -8106.105995906115, 11528.76156911392, -21261.44871252164, 27642.80469927844, 22296.22272208008, -0.014, 0.92, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652797824427802E9, 0.0, 2022-05-17 16:30:24.427
