Imagine finger movement ,Solve sums ,Imagine song ,Imagine finger movement ,Imagine finger movement ,Rotate object ,Rotate object ,Rotate object ,Imagine song ,Rotate object ,FINISHED
2,0,3,2,2,1,1,1,3,1
11:33:35.810,11:33:40.810,11:33:45.810,11:33:50.810,11:33:55.810,11:34:00.810,11:34:05.810,11:34:10.810,11:34:15.810,11:34:20.810,11:34:25.810
