Imagine song ,Solve sums ,Rotate object ,Solve sums ,Solve sums ,Rotate object ,Imagine finger movement ,Rotate object ,Solve sums ,Rotate object ,FINISHED
3,0,1,0,0,1,2,1,0,1
13:18:07.485,13:18:12.485,13:18:17.485,13:18:22.485,13:18:27.485,13:18:32.485,13:18:37.485,13:18:42.485,13:18:47.485,13:18:52.485,13:18:57.485
