Imagine song ,Imagine finger movement ,Imagine finger movement ,Imagine song ,Rotate object ,Rotate object ,Solve sums ,Imagine song ,Imagine song ,Solve sums ,Finished
3,2,2,3,1,1,0,3,3,0
11:27:29.949,11:27:34.949,11:27:39.949,11:27:44.949,11:27:49.949,11:27:54.949,11:27:59.949,11:28:04.949,11:28:09.949,11:28:14.949,11:28:19.949
