hij,0
paleis,1
schaden,0
weergeven,1
sluipen,0
medewerkers,1
synthesen,0
handhaven,1
inkoop,0
rollen,1
grafische,0
major,1
wei,0
borst,1
indelen,0
leuks,1
standbeeld,0
excuus,1
bewustzijn,0
stijf,1
stokt,0
pakketten,1
dijken,0
ziek,1
daling,0
literatuur,1
stop,0
veelal,1
reageert,0
gevoelig,1
jullie,0
hein,1
zoals,0
roze,1
daarover,0
interviewer,1
draait,0
vochten,1
achteruit,0
misverstand,1
2022-06-03 12:07:49.328166, 
